
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
BUILTIN\Administrators                                        Alias            S-1-5-32-544                                       Group used for deny only                                       
BUILTIN\Hyper-V Administrators                                Alias            S-1-5-32-578                                       Mandatory group, Enabled by default, Enabled group             
BUILTIN\Performance Log Users                                 Alias            S-1-5-32-559                                       Mandatory group, Enabled by default, Enabled group             
BUILTIN\Users                                                 Alias            S-1-5-32-545                                       Mandatory group, Enabled by default, Enabled group             
NT AUTHORITY\INTERACTIVE                                      Well-known group S-1-5-4                                            Mandatory group, Enabled by default, Enabled group             
CONSOLE LOGON                                                 Well-known group S-1-2-1                                            Mandatory group, Enabled by default, Enabled group             
NT AUTHORITY\Authenticated Users                              Well-known group S-1-5-11                                           Mandatory group, Enabled by default, Enabled group             
NT AUTHORITY\This Organization                                Well-known group S-1-5-15                                           Mandatory group, Enabled by default, Enabled group             
LOCAL                                                         Well-known group S-1-2-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-DE-READER-12841                                   Group            S-1-5-21-2127521184-1604012920-1887927527-8085685  Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-Read Only-CG-14441                                Group            S-1-5-21-2127521184-1604012920-1887927527-9762032  Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-SSADED-15438                                      Group            S-1-5-21-2127521184-1604012920-1887927527-10463113 Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-WAUTIL-RO-12676                                   Group            S-1-5-21-2127521184-1604012920-1887927527-8014991  Mandatory group, Enabled by default, Enabled group             
REDMOND\FTEredmond                                            Group            S-1-5-21-2127521184-1604012920-1887927527-211604   Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-ANTARESCG-16818                                   Group            S-1-5-21-2127521184-1604012920-1887927527-11818469 Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-SSTA-15096                                        Group            S-1-5-21-2127521184-1604012920-1887927527-10135901 Mandatory group, Enabled by default, Enabled group             
REDMOND\Redmond_ras_smartcard                                 Group            S-1-5-21-2127521184-1604012920-1887927527-2411099  Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-RRAS-19368                                        Group            S-1-5-21-2127521184-1604012920-1887927527-14490167 Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-DELA-R-14645                                      Group            S-1-5-21-2127521184-1604012920-1887927527-9888972  Mandatory group, Enabled by default, Enabled group             
REDMOND\Msit-vsmartcard-logon                                 Group            S-1-5-21-2127521184-1604012920-1887927527-8599054  Mandatory group, Enabled by default, Enabled group             
REDMOND\Department 15058                                      Group            S-1-5-21-2127521184-1604012920-1887927527-550535   Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-Read Write-CG-14779                               Group            S-1-5-21-2127521184-1604012920-1887927527-10022112 Mandatory group, Enabled by default, Enabled group             
REDMOND\RCG-Read Only-CG-18604                                Group            S-1-5-21-2127521184-1604012920-1887927527-13872851 Mandatory group, Enabled by default, Enabled group             
REDMOND\FTEredmond10                                          Group            S-1-5-21-2127521184-1604012920-1887927527-15218758 Mandatory group, Enabled by default, Enabled group             
REDMOND\CMEDSL_AZUREBUILDS_MOD                                Group            S-1-5-21-2127521184-1604012920-1887927527-9828180  Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-MICROSOFTONLINE-GBOSS-PPP-READ                Group            S-1-5-21-2127521184-1604012920-1887927527-23373628 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-OFFICE-READ                        Group            S-1-5-21-2127521184-1604012920-1887927527-23324383 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-CUSTOMERSERVICE-CSSRETAIL-READ                Group            S-1-5-21-2127521184-1604012920-1887927527-23373497 Mandatory group, Enabled by default, Enabled group             
REDMOND\scottgu_org_fte                                       Group            S-1-5-21-2127521184-1604012920-1887927527-7869310  Mandatory group, Enabled by default, Enabled group             
